Title,Year,Rating,Cast,Genre
Island of Lost Souls,1933,88%,"Charles Laughton, Bela Lugosi, Richard Arlen, Leila Hyams",Horror
Revenge,2017,93%,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",Horror
Suspiria,1977,93%,"Jessica Harper, Stefania Casini, Joan Bennett, Eva Axén",Horror
The Ring,1998,97%,"Nanako Matsushima, Hiroyuki Sanada, Miki Nakatani, Yuko Takeuchi",Horror
I Walked With a Zombie,1943,85%,"James Ellison, Frances Dee, Tom Conway, Edith Barrett",Horror
The Love Witch,2016,95%,"Samantha Robinson, Gian Keys, Laura Waddell, Jeffrey Vincent Parise",Horror
Harpoon,2019,97%,"Munro Chambers, Emily Tyra, Christopher Gray",Horror
Invasion of the Body Snatchers,1978,92%,"Donald Sutherland, Brooke Adams, Leonard Nimoy, Veronica Cartwright",Horror
The Innocents,1961,95%,"Deborah Kerr, Martin Stephens, Pamela Franklin, Michael Redgrave",Horror
The Loved Ones,2009,98%,"Xavier Samuel, Robin McLeavy, Jessica McNamee, Victoria Thaine",Horror
Evil Dead 2,1987,95%,"Bruce Campbell, Sarah Berry, Dan Hicks, Denise Bixler",Horror
Raw,2016,93%,"Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas",Horror
The Evil Dead,1981,95%,"Bruce Campbell, Ellen Sandweiss, Betsy Baker, Hal Delrich",Horror
La llorona,2019,96%,"María Mercedes Coroy, Sabrina De La Hoz, Margarita Kénefic, Julio Diaz",Horror
Nosferatu,1979,95%,"Klaus Kinski, Isabelle Adjani, Bruno Ganz, Roland Topor",Horror
Creep 2,2017,100%,"Mark Duplass, Karan Soni, Patrick Brice, Desiree Akhavan",Horror
Green Room,2015,90%,"Anton Yelchin, Imogen Poots, Alia Shawkat, Joe Cole",Horror
Carrie,1976,93%,"Sissy Spacek, Piper Laurie, William Katt, Amy Irving",Horror
Midsommar,2019,83%,"Florence Pugh, Jack Reynor, William Jackson Harper, Will Poulter",Horror
The Fly,1958,95%,"Al Hedison, Patricia Owens, Vincent Price, Herbert Marshall",Horror
House of Wax,1953,93%,"Vincent Price, Frank Lovejoy, Phyllis Kirk, Carolyn Jones",Horror
Drag Me to Hell,2009,92%,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao",Horror
A Girl Walks Home Alone at Night,2014,96%,"Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan Marnò",Horror
